segment_type,segment_value,date,yhat
produit,Certificat d'origine,2026-06-30,51253.44921875
produit,Certificat d'origine,2026-07-31,51670.77734375
produit,Certificat d'origine,2026-08-31,51649.94140625
produit,Certificat d'origine,2026-09-30,51549.7109375
produit,Certificat d'origine,2026-10-31,54008.75390625
produit,Certificat d'origine,2026-11-30,54850.6640625
produit,Certificat d'origine,2026-12-31,56660.62890625
produit,Location de salles,2026-01-31,3411.61083984375
produit,Location de salles,2026-02-28,2555.52001953125
produit,Location de salles,2026-03-31,2499.63671875
produit,Location de salles,2026-04-30,2484.66845703125
produit,Location de salles,2026-05-31,2484.66845703125
produit,Location de salles,2026-06-30,2059.922119140625
produit,Location de salles,2026-07-31,2219.324462890625
produit,Location de salles,2026-08-31,2132.60009765625
produit,Location de salles,2026-09-30,2472.5537109375
produit,Location de salles,2026-10-31,3072.22705078125
produit,Location de salles,2026-11-30,2458.41162109375
produit,Location de salles,2026-12-31,2341.0830078125
produit,Légalisation,2026-01-31,4560.05224609375
produit,Légalisation,2026-02-28,3693.478759765625
produit,Légalisation,2026-03-31,3589.99169921875
produit,Légalisation,2026-04-30,3651.667236328125
produit,Légalisation,2026-05-31,3651.667236328125
produit,Légalisation,2026-06-30,3398.248291015625
produit,Légalisation,2026-07-31,3474.658935546875
produit,Légalisation,2026-08-31,3485.33203125
produit,Légalisation,2026-09-30,3727.888671875
produit,Légalisation,2026-10-31,4424.95947265625
produit,Légalisation,2026-11-30,4228.6064453125
produit,Légalisation,2026-12-31,4046.186767578125
secteur,Commerce,2026-01-31,33333.8984375
secteur,Commerce,2026-02-28,35919.3984375
secteur,Commerce,2026-03-31,33825.515625
secteur,Commerce,2026-04-30,35998.47265625
secteur,Commerce,2026-05-31,34952.30078125
secteur,Commerce,2026-06-30,37643.66015625
secteur,Commerce,2026-07-31,37213.17578125
secteur,Commerce,2026-08-31,36967.07421875
secteur,Commerce,2026-09-30,42682.33984375
secteur,Commerce,2026-10-31,43338.46484375
secteur,Commerce,2026-11-30,41858.08203125
secteur,Commerce,2026-12-31,46054.80859375
secteur,Hors secteur,2026-01-31,5119.18603515625
secteur,Hors secteur,2026-02-28,4354.353515625
secteur,Hors secteur,2026-03-31,4277.31494140625
secteur,Hors secteur,2026-04-30,4317.60888671875
secteur,Hors secteur,2026-05-31,4270.03515625
secteur,Hors secteur,2026-06-30,3755.22119140625
secteur,Hors secteur,2026-07-31,3831.6318359375
secteur,Hors secteur,2026-08-31,3881.412353515625
secteur,Hors secteur,2026-09-30,4067.892578125
secteur,Hors secteur,2026-10-31,4695.37744140625
secteur,Hors secteur,2026-11-30,3971.300048828125
secteur,Hors secteur,2026-12-31,3874.410400390625
secteur,Industrie,2026-01-31,28874.05859375
secteur,Industrie,2026-02-28,32827.8515625
secteur,Industrie,2026-03-31,35004.2421875
secteur,Industrie,2026-04-30,27680.400390625
secteur,Industrie,2026-05-31,30160.85546875
secteur,Industrie,2026-06-30,29885.126953125
secteur,Industrie,2026-07-31,26940.798828125
secteur,Industrie,2026-08-31,28682.19140625
secteur,Industrie,2026-09-30,31769.880859375
secteur,Industrie,2026-10-31,31891.66015625
secteur,Industrie,2026-11-30,31239.185546875
secteur,Industrie,2026-12-31,31729.23046875
secteur,Service,2026-01-31,31185.07421875
secteur,Service,2026-02-28,24845.982421875
secteur,Service,2026-03-31,24781.83984375
secteur,Service,2026-04-30,26757.34375
secteur,Service,2026-05-31,28019.421875
secteur,Service,2026-06-30,28292.296875
secteur,Service,2026-07-31,28458.69140625
secteur,Service,2026-08-31,28039.7265625
secteur,Service,2026-09-30,28668.8359375
secteur,Service,2026-10-31,32173.3125
secteur,Service,2026-11-30,28764.181640625
secteur,Service,2026-12-31,31204.845703125
